# PT power spectra for matter and bias tracers P, P_CTR (for c_s^2 = 1 (Mpc/h)^2 ), Id2d2, Id2, IG2, Id2G2, IG2G2, IFG2, P_Tree at redshift z=0.61
# for k=1.05479e-05 to 107.685 h/Mpc,
# number of wavenumbers equal to 584
#    1:k (h/Mpc)              2:P_1loop (Mpc/h)^3      3:P_CTR (Mpc/h)^3        4:Id2d2 (Mpc/h)^3        5:Id2 (Mpc/h)^3          6:IG2 (Mpc/h)^3          7:Id2G2 (Mpc/h)^3        8:IG2G2 (Mpc/h)^3        9:IFG2 (Mpc/h)^3        10:P_Tree (Mpc/h)^3   
       2.104574598631e-03      -1.753328874461e-01      -1.727495384595e-02      -4.935455052886e-01      -6.135617947447e-02      -3.748301616082e-03      -1.966846911102e+00       3.184144057536e-02      -1.396172829596e+00       3.900217640433e+03 
       2.649502443233e-03      -3.361198531476e-01      -3.331700172411e-02      -6.831143113729e-01      -9.248125376874e-02      -9.120292554736e-03      -3.106753303256e+00       7.440718431364e-02      -2.682390149028e+00       4.746117239131e+03 
       3.335525954396e-03      -6.376593116645e-01      -6.370658377800e-02      -9.826399850425e-01      -1.352230106070e-01      -2.230777542069e-02      -4.898710246903e+00       1.717628572311e-01      -5.101765867921e+00       5.726088517224e+03 
       4.199178385688e-03      -1.193733553295e+00      -1.205008435767e-01      -1.455137104088e+00      -1.877269873493e-01      -5.437134029664e-02      -7.703936756267e+00       3.899554665851e-01      -9.578830839644e+00       6.833861166898e+03 
       5.286452378400e-03      -2.197490799563e+00      -2.248555133119e-01      -2.198822526684e+00      -2.365061458328e-01      -1.311895567670e-01      -1.206834426195e+01       8.668882854643e-01      -1.769349026231e+01       8.046075249813e+03 
       6.655249237408e-03      -3.960427238842e+00      -4.125559118401e-01      -3.365784520238e+00      -2.382920430275e-01      -3.115154782721e-01      -1.879777208414e+01       1.877994291453e+00      -3.201871498477e+01       9.314764600478e+03 
       8.378462386796e-03      -6.950429786178e+00      -7.413440321211e-01      -5.189624504803e+00      -8.187986345111e-02      -7.234996840156e-01      -2.904102006058e+01       3.943050156809e+00      -5.648338751311e+01       1.056147553313e+04 
       1.054785921050e-02      -1.178902156877e+01      -1.297709327339e+00      -8.025763407534e+00       4.843033903998e-01      -1.632016937092e+00      -4.435287326483e+01       7.972801521825e+00      -9.649387218422e+01       1.166567812763e+04 
       1.327896800012e-02      -1.912906093493e+01      -2.197472659874e+00      -1.240953911202e+01       1.971552113867e+00      -3.545646691568e+00      -6.667734141171e+01       1.541079551335e+01      -1.583166730731e+02       1.246525662937e+04 
       1.671723025774e-02      -2.924673457037e+01      -3.565226467663e+00      -1.913960640109e+01       5.304121854956e+00      -7.343778424613e+00      -9.815618285756e+01       2.824135221674e+01      -2.467336248651e+02       1.276225009016e+04 
